record_id,student_id,student_name,lecture_id,lecture_name,lecturer_id,lecturer_name,course_id,course_code,course_name,group_id,group_name,academic_week,timestamp,time,time_minute,emotion,confidence,engagement_score,focus_score,attendance_status,is_present,left_room,absence_duration_minutes,source_type,model_name
1,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:03:40Z,08:03,0,Bored,0.97,0.17,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
21,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:05:44Z,08:05,5,Confused,0.93,0.45,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
41,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:13:39Z,08:13,10,Neutral,0.79,0.65,0.72,Absent,FALSE,TRUE,15,mock_video,EduPulse_v1.0
61,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:17:43Z,08:17,15,Neutral,0.86,0.63,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
81,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:24:57Z,08:24,20,Happy,0.81,0.95,0.82,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
101,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:26:55Z,08:26,25,Neutral,0.82,0.63,0.91,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
121,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:32:11Z,08:32,30,Neutral,0.95,0.6,0.87,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
141,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:35:35Z,08:35,35,Neutral,0.96,0.68,0.89,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
161,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:41:25Z,08:41,40,Neutral,0.93,0.68,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
181,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:45:54Z,08:45,45,Neutral,0.92,0.61,0.84,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
201,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:50:16Z,08:50,50,Neutral,0.78,0.62,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
221,S001,Linda Ahmed,Lbc5f9ac04,CS301 — GRP_A_CS301 (Week 1),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,1,2026-02-09T08:57:47Z,08:57,55,Happy,0.9,0.98,0.74,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
241,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:03:33Z,12:03,0,Confused,0.76,0.44,0.65,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
261,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:06:21Z,12:06,5,Happy,0.91,0.92,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
281,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:11:21Z,12:11,10,Confused,0.9,0.45,0.87,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
301,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:19:39Z,12:19,15,Neutral,0.97,0.65,0.71,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
321,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:23:08Z,12:23,20,Happy,0.85,0.96,0.93,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
341,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:28:08Z,12:28,25,Happy,0.95,0.91,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
361,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:31:22Z,12:31,30,Confused,0.75,0.41,0.76,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
381,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:35:18Z,12:35,35,Neutral,0.97,0.65,0.87,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
401,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:44:18Z,12:44,40,Confused,0.81,0.42,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
421,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:47:50Z,12:47,45,Neutral,0.92,0.69,0.67,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
441,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:53:42Z,12:53,50,Neutral,0.87,0.61,0.78,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
461,S001,Linda Ahmed,Lbda5b8140,CS301 — GRP_A_CS301 (Week 2),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,2,2026-02-11T12:58:08Z,12:58,55,Neutral,0.76,0.64,0.69,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2881,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:04:42Z,08:04,0,Happy,0.8,1,0.7,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
2901,S001,Linda Ahmed,L8add99619,CS301 — GRP_A_CS301 (Week 13),L002,Ahmed Mohamed,1,CS301,Artificial Intelligence,1,Group A - CS301,13,2026-02-09T08:07:24Z,08:07,5,Neutral,0.94,0.64,0.67,Present,TRUE,FALSE,0,mock_video,EduPulse_v1.0
